Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module top_sim.dut.bootloader_rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module top_sim.dut.mm.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 ns | rst: 1 | inst_fetch_addr: 00000000 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 20000 ns | rst: 0 | inst_fetch_addr: 00000000 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 50000 ns | rst: 0 | inst_fetch_addr: 00000004 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 150000 ns | rst: 0 | inst_fetch_addr: 00000008 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 150000 ns | rst: 0 | inst_fetch_addr: 00000008 | inst_fetch: 00500093 | mem_addr: 00000000 | mem_we: 0
Time: 250000 ns | rst: 0 | inst_fetch_addr: 0000000c | inst_fetch: 00500093 | mem_addr: 00000000 | mem_we: 0
Time: 250000 ns | rst: 0 | inst_fetch_addr: 0000000c | inst_fetch: 00300113 | mem_addr: 00000000 | mem_we: 0
Time: 350000 ns | rst: 0 | inst_fetch_addr: 00000010 | inst_fetch: 00300113 | mem_addr: 00000000 | mem_we: 0
Time: 350000 ns | rst: 0 | inst_fetch_addr: 00000010 | inst_fetch: 002081b3 | mem_addr: 00000000 | mem_we: 0
Time: 450000 ns | rst: 0 | inst_fetch_addr: 00000014 | inst_fetch: 002081b3 | mem_addr: 00000005 | mem_we: 0
Time: 450000 ns | rst: 0 | inst_fetch_addr: 00000014 | inst_fetch: 00001237 | mem_addr: 00000005 | mem_we: 0
Time: 550000 ns | rst: 0 | inst_fetch_addr: 00000018 | inst_fetch: 00001237 | mem_addr: 00000003 | mem_we: 0
Time: 550000 ns | rst: 0 | inst_fetch_addr: 00000018 | inst_fetch: 00322023 | mem_addr: 00000003 | mem_we: 0
Time: 650000 ns | rst: 0 | inst_fetch_addr: 0000001c | inst_fetch: 00322023 | mem_addr: 00000008 | mem_we: 0
Time: 650000 ns | rst: 0 | inst_fetch_addr: 0000001c | inst_fetch: 00022283 | mem_addr: 00000008 | mem_we: 0
Time: 750000 ns | rst: 0 | inst_fetch_addr: 00000020 | inst_fetch: 00022283 | mem_addr: 00001000 | mem_we: 0
Time: 750000 ns | rst: 0 | inst_fetch_addr: 00000020 | inst_fetch: 005181b3 | mem_addr: 00001000 | mem_we: 0
Time: 850000 ns | rst: 0 | inst_fetch_addr: 00000024 | inst_fetch: 005181b3 | mem_addr: 00001000 | mem_we: 1
Time: 850000 ns | rst: 0 | inst_fetch_addr: 00000024 | inst_fetch: 0000006f | mem_addr: 00001000 | mem_we: 1
Time: 950000 ns | rst: 0 | inst_fetch_addr: 00000028 | inst_fetch: 0000006f | mem_addr: 00001000 | mem_we: 0
Time: 950000 ns | rst: 0 | inst_fetch_addr: 00000028 | inst_fetch: 00000000 | mem_addr: 00001000 | mem_we: 0
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module top_sim.dut.bootloader_rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module top_sim.dut.mm.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 ns | rst: 1 | inst_fetch_addr: 00000000 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 20000 ns | rst: 0 | inst_fetch_addr: 00000000 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 50000 ns | rst: 0 | inst_fetch_addr: 00000004 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 150000 ns | rst: 0 | inst_fetch_addr: 00000008 | inst_fetch: 00000000 | mem_addr: 00000000 | mem_we: 0
Time: 150000 ns | rst: 0 | inst_fetch_addr: 00000008 | inst_fetch: 00500093 | mem_addr: 00000000 | mem_we: 0
Time: 250000 ns | rst: 0 | inst_fetch_addr: 0000000c | inst_fetch: 00500093 | mem_addr: 00000000 | mem_we: 0
